commit,author,date,url
962c302710cd6556a85ba953bac236f33b8e1a09,MarcoFalke,Thu Sep 13 08:25:49 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/962c302710cd6556a85ba953bac236f33b8e1a09
fa8433e3797a574937009c1b0843f44d8d7b5358,MarcoFalke,Thu Sep 13 08:23:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa8433e3797a574937009c1b0843f44d8d7b5358
e413c2ddd1240d7bacd1837fa49d25781fe6e5fa,MarcoFalke,Tue Sep 11 08:23:05 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e413c2ddd1240d7bacd1837fa49d25781fe6e5fa
b9ed2fd026926cafe38a1ee23d47eb891a94ddb1,Wladimir J. van der Laan,Thu Sep 13 07:06:25 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/b9ed2fd026926cafe38a1ee23d47eb891a94ddb1
ef425f69af90e4c466d98f2ad4578b4385649b3a,Wladimir J. van der Laan,Thu Sep 13 06:46:03 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/ef425f69af90e4c466d98f2ad4578b4385649b3a
288ddf4ff51cf47a40528207ba5d32775a2b9a6d,Wladimir J. van der Laan,Thu Sep 13 05:33:15 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/288ddf4ff51cf47a40528207ba5d32775a2b9a6d
37b836ad09369d62244e79bf4ba806516f2344cc,Wladimir J. van der Laan,Thu Sep 13 05:10:17 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/37b836ad09369d62244e79bf4ba806516f2344cc
477f258755265ce49bd56dfbd574616e2cd45584,Wladimir J. van der Laan,Thu Sep 13 04:56:35 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/477f258755265ce49bd56dfbd574616e2cd45584
81b3f3c7a3d4e68db6587d5be91c54135ffaa176,Wladimir J. van der Laan,Thu Sep 13 02:59:12 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/81b3f3c7a3d4e68db6587d5be91c54135ffaa176
9a565a8282236f29334a6ec2de6a03358f5ce86e,liuyujun,Wed Sep 12 08:00:06 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/9a565a8282236f29334a6ec2de6a03358f5ce86e
1bfcc0696c4638e1323ab7529f28b604d713067b,Wladimir J. van der Laan,Thu Sep 13 02:43:30 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/1bfcc0696c4638e1323ab7529f28b604d713067b
d0b1cee1fe95eba7b968bed2c33ab681d169c91f,Wladimir J. van der Laan,Wed Sep 12 08:01:58 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/d0b1cee1fe95eba7b968bed2c33ab681d169c91f
fae3fbd61a89c7a35bc0eda91b1df61371dc0936,MarcoFalke,Wed Sep 12 10:21:01 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fae3fbd61a89c7a35bc0eda91b1df61371dc0936
8f464549c46db2954d7b64d1feb200eb35f2e7e8,Wladimir J. van der Laan,Wed Sep 12 10:11:12 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/8f464549c46db2954d7b64d1feb200eb35f2e7e8
1c12cf60736c5a3ddf75244a0d61cda7f4ad5ed0,Wladimir J. van der Laan,Wed Sep 12 04:20:56 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/1c12cf60736c5a3ddf75244a0d61cda7f4ad5ed0
e0664f7f54aa9cf99ba31ca4bd9de1db0a9310a4,Wladimir J. van der Laan,Wed Sep 12 02:35:41 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e0664f7f54aa9cf99ba31ca4bd9de1db0a9310a4
f1bd03eb013b96ff040a8f835e4137fbd2a38cda,mruddy,Sat Jun 30 09:32:33 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/f1bd03eb013b96ff040a8f835e4137fbd2a38cda
b6a253337f6371e4aa27c488ad70741d2b750d01,araspitzu,Tue Sep 11 09:01:04 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/b6a253337f6371e4aa27c488ad70741d2b750d01
4103cc31690e5be21854a9628f57c54b880ee195,MarcoFalke,Tue Sep 11 08:46:35 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/4103cc31690e5be21854a9628f57c54b880ee195
d38bf9105d33147c899117a4c20ba7872733186f,Chun Kuan Lee,Sun Aug 05 20:32:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/d38bf9105d33147c899117a4c20ba7872733186f
362518791ade834d7f1f25b679ba236dcf5c3ad0,Wladimir J. van der Laan,Tue Sep 11 03:46:29 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/362518791ade834d7f1f25b679ba236dcf5c3ad0
0de0abc85b436031d257378fe136156e26707116,Wladimir J. van der Laan,Tue Sep 11 03:28:44 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/0de0abc85b436031d257378fe136156e26707116
e3fec3cfa894db6c0c4de8b43ae983383c8d7d7a,Wladimir J. van der Laan,Tue Sep 11 02:31:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e3fec3cfa894db6c0c4de8b43ae983383c8d7d7a
bcffd8743e7f9cf286e641a0df8df25241a9238c,Wladimir J. van der Laan,Tue Sep 11 02:09:57 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/bcffd8743e7f9cf286e641a0df8df25241a9238c
